Stkcd,Trdynt,Yopnprc,Yclsprc,Ynshrtrd,Ysmvosd,Ysmvttl,Yretwd,Yretnd,Yarkettype
5,2015,4.51,10.04,9165599229,9173979.79,10627709.89,1.448781,1.44878,4
5,2016,10,6.76,5070025078,6176902.73,7155709.05,-0.326693,-0.326693,4
5,2017,6.76,4.14,2039809926,3938060.98,4382342.53,-0.387574,-0.387574,4
6,1995,7.25,3.8,86751629,320545.37,515356.28,-0.312152,-0.310534,4
6,1996,3.8,13.59,872357819,1146371.46,1843076.81,2.663435,2.628947,4
6,1997,13.51,20.53,941558137,2943832.73,4732942.04,1.153283,1.035981,4
6,1998,20.88,10.46,217386947,1650661.63,2652568.48,-0.432346,-0.42981,4
6,1999,10.35,9.46,278765450,1492854.59,2398976.85,-0.081144,-0.076482,4
6,2000,9.56,13.21,477694653,2084630.99,3349945.47,0.406525,0.406977,4
6,2001,13.25,11.15,267441639,1759548.48,2827546.71,-0.143345,-0.140802,4
6,2002,11.06,8.17,190013697,1289283.51,2071843.64,-0.258996,-0.255605,4
6,2003,8.05,5.25,230368329,828486.95,1331356.07,-0.349154,-0.347613,4
6,2004,5.3,4.13,405275311,651743.07,1047333.44,-0.213333,-0.213333,4
6,2005,4.12,4.27,325614065,673836.06,1082836.27,0.05373,0.052058,4
6,2006,4.35,13.41,1281679907,2539123.53,3400663.77,2.864295,2.819204,4
6,2007,13.5,26.15,1628601704,5716465.7,6631421.15,0.974543,0.976137,4
6,2008,26.21,4.93,1919240355,2277272.55,2500413.48,-0.621427,-0.61912,4
6,2009,5.03,11.33,3432900559,5589345.94,5746386.36,1.312869,1.314402,4
6,2010,11.33,6.97,4500973309,5164110.58,5302601,-0.064413,-0.066637,4
6,2011,7.05,4.1,2430539635,3968184.07,4054930.18,-0.228947,-0.226686,4
6,2012,4.15,4.95,2668555914,6263586.42,6364262.36,0.580172,0.579268,4
6,2013,5.02,4.93,3641500858,6597531,6655475.58,0.069082,0.06596,4
6,2014,4.93,7.05,5766198092,9439224.86,9517465.07,0.477997,0.46146,4
6,2015,7.1,11.51,13451492397,15426462.47,15538442.98,0.645012,0.649362,4
6,2016,11.46,9.45,7651626805,12711680.62,12757453.18,-0.165348,-0.168549,4
6,2017,9.5,9.85,3403033854,13249916.23,13297451.2,0.063794,0.061376,4
7,1995,5.6,3.2,59089557,130561.58,235640.89,-0.401702,-0.396092,4
7,1996,3.18,8.94,465888486,364756.42,658321.74,1.807719,1.803125,4
7,1997,8.7,8.36,454513083,665129.63,1200443.03,0.823489,0.82349,4
7,1998,8.42,7.5,239432940,596707.21,1076952.48,-0.102871,-0.102871,4
7,1999,7.38,8,255422935,636487.69,1148749.31,0.066667,0.066667,4
7,2000,8.2,13.3,590877979,1058160.78,1909795.73,0.6625,0.6625,4
7,2001,13.35,8.73,253292088,694567.19,1253572.69,-0.343609,-0.343609,4
7,2002,8.85,7.86,220807320,625349.15,1128646.2,-0.099656,-0.099656,4
7,2003,7.81,4.75,144429785,377914.56,682069.9,-0.395674,-0.395674,4
7,2004,4.88,3.38,299164393,268916.05,485346.58,-0.288421,-0.288421,4
7,2005,3.34,3.22,428921012,256186.29,462371.6,-0.047337,-0.047337,4
7,2006,3.23,2.42,562160920,292657.04,447616.18,0.14236,0.14236,4
7,2007,2.44,7.52,1573524884,1088588.71,1390939.53,2.107438,2.107438,4
7,2008,7.57,3.24,582192311,469019.6,599287.78,-0.569149,-0.569149,4
7,2009,3.3,7.03,1366430725,1300306.5,1300306.5,1.169753,1.169753,4
7,2010,7.09,8.55,696722440,1581453.85,1581453.85,0.216216,0.216216,4
7,2011,8.5,6.58,453772153,1217072.09,1519752.09,-0.230409,-0.230409,4
7,2012,6.91,14.47,915963171,2674513.83,3342068.8,1.199088,1.199088,4
7,2013,14.47,13.88,953522743,2565206.4,3205799.24,-0.040774,-0.040774,4
7,2014,13.9,14.6,559938399,3005952.21,3372094.3,0.051873,0.051873,4
7,2015,14.51,23.79,1052188251,4898055.01,5494665.99,0.629452,0.629452,4
7,2016,21.41,25.63,879747521,5278892.25,5919642.25,0.077343,0.077343,4
7,2017,26.1,16.66,217870014,5147074.41,5771824.41,-0.024971,-0.024971,4
8,1995,5.85,4.65,74073224,126233.62,263451.86,-0.138889,-0.138889,4
8,1996,4.65,6.02,504692310,212449.25,443392.31,0.68301,0.683011,4
8,1997,5.9,7.37,433897948,260091.52,542824.14,0.224252,0.224252,4
8,1998,7.4,8.61,225273697,303851.83,634154.12,0.16825,0.16825,4
8,1999,8.25,42.3,118725950,1492791.24,3115530.7,3.912892,3.912892,4
8,2000,42.35,50.31,93742012,1775468.73,3705492.89,0.189362,0.189362,4
8,2001,50.31,11.96,173279068,422075.25,880892.37,-0.762274,-0.762274,4
8,2002,11.9,8.59,139936703,303146.02,632681.06,-0.281773,-0.281773,4
8,2003,8.61,6.95,65346925,245269.48,511889.8,-0.19092,-0.19092,4
8,2004,6.95,8.4,70988911,296440.81,618686.95,0.208633,0.208633,4
8,2005,8.32,4.06,273848321,171935.3,299032.02,-0.42,-0.42,4
8,2006,4.06,4.17,226043781,176593.65,307133.88,0.027094,0.027094,4
8,2007,4.16,12.41,497732305,641791.96,914036.31,1.976019,1.976019,4
8,2008,12.45,4.42,155411579,228583.44,325547.18,-0.643836,-0.643836,4
8,2009,4.45,12.28,273979822,635068.92,904461.39,1.778281,1.778281,4
8,2010,11.67,11.97,249470340,881627.82,881628.9,-0.025244,-0.025244,4
8,2011,11.91,6.97,161645455,513362.23,513362.86,-0.417711,-0.417711,4
8,2012,7.03,10.73,130557591,790297.96,1628822.8,0.539455,0.539455,4
8,2013,10.68,9,746575364,1325756.12,2732414.76,0.677539,0.67754,4
8,2014,9,22.09,503452541,3253994.75,6706560.23,1.454444,1.454444,4
8,2015,22.1,11.78,2967921493,7547777.32,28383119.88,1.319737,1.319737,4
8,2016,11.88,9.32,3797703497,13935530.19,26180609.56,-0.208829,-0.208829,4
8,2017,9.33,8.75,2035969759,17589143.52,24660385.83,-0.059839,-0.060086,4
9,1995,5,2.84,376719790,1263411.36,2282706.11,-0.270075,-0.267068,4
9,1996,2.83,6.91,5252311198,4002360.45,6625377.39,1.719406,1.617039,4
9,1997,6.81,4.65,1912009544,2693339.52,4458466.7,-0.324638,-0.324168,4
9,1998,4.62,4.35,1350738508,2519575.68,4170823.68,-0.064516,-0.064516,4
9,1999,4.31,3.54,919455515,2050413.31,3394187.55,-0.186207,-0.186207,4
9,2000,3.55,7.12,2555343922,4127655.17,6826727.5,1.011299,1.011299,4
9,2001,7.12,4.89,714403472,2834864.3,4688581.11,-0.313202,-0.313202,4
9,2002,4.91,5.01,2000210399,2904431.52,4803638.31,0.02454,0.02454,4
9,2003,5,4.51,1219764939,2614568.09,4324233.29,-0.0998,-0.0998,4
9,2004,4.51,3.43,1303121540,1988463.1,3288718.44,-0.239468,-0.239468,4
9,2005,3.43,2.31,909299253,1339169.02,2214851.2,-0.326531,-0.326531,4
9,2006,2.54,4.23,2565762834,2452244.58,4055766.48,0.831169,0.831169,4
9,2007,4.23,15.9,5032678784,9217656.92,15245079.67,2.758865,2.758865,4
9,2008,15.82,3.98,4307428343,2969140.43,4134463.91,-0.677886,-0.677886,4
9,2009,4.07,10.98,7378190661,10849556.03,11976440.81,1.90324,1.904271,4
9,2010,11,16.77,6639996857,17989961.54,18291886.37,0.532361,0.53051,4
9,2011,16.78,10.9,6927406555,11765870.82,11889180.77,-0.349385,-0.348837,4
9,2012,11.04,8.8,5455455983,9499338.95,9598604.66,-0.192661,-0.192661,4
9,2013,8.87,9.45,6249977476,11731143.86,11853731.37,0.238129,0.238352,4
9,2014,9.38,12.95,6949304481,19291214.35,19492802.69,0.64885,0.647619,4
9,2015,13.88,17.96,17469251876,26754456.35,28594248.65,0.389233,0.388417,4
9,2016,17.96,10.36,15677648892,21963878.89,22267213.9,-0.217461,-0.217372,4
9,2017,10.39,7.23,7393586968,15328243.96,15539764.14,-0.300474,-0.300193,4
10,1995,15.38,5.75,41717142,97743.84,301108,,,4
10,1996,5.6,7.44,277280355,141648.66,436360.46,0.463948,0.463096,4
10,1997,7.34,13.4,155372151,331655.86,985016.9,1.143442,0.965324,4
10,1998,13.5,16.1,86579720,398407.03,1183490.46,0.201493,0.201493,4
10,1999,16.05,7.35,169993813,363831.42,1080578.24,-0.086957,-0.086957,4
10,2000,7.38,13.67,253852556,676676.95,2009728.51,0.859864,0.859864,4
10,2001,13.7,10.15,155509576,688107.54,1492227.1,-0.257498,-0.257498,4
10,2002,10,7.82,191316752,530147.88,1149676.44,-0.229557,-0.229557,4
10,2003,7.72,5.34,167451084,362019.14,785073.17,-0.317136,-0.317136,4
10,2004,5.38,4.44,319539340,301004.68,652757.47,-0.168539,-0.168539,4
10,2005,4.44,2.82,283721881,191178.65,414589.2,-0.364865,-0.364865,4
10,2006,2.83,5.37,355264314,364052.95,789483.7,0.904255,0.904255,4
10,2007,5.1,15.54,620766137,1053516.37,2284651.14,1.893855,1.893855,4
10,2008,14.76,5.16,205872742,349816.25,758610.03,-0.667954,-0.667954,4
10,2009,5.25,11.86,662843976,804035.01,1743626.93,1.29845,1.29845,4
